"7,973",Abu Ghosh
"14,759",Abu Sinan
"2,247",Abu Qureinat
"2,546",Abu Tulul
"2,926",Ibtin
"14,488",Even Yehuda
"2,330",Even Shemu'el
"2,416",Avne Hefez
"58,979",Umm al-Fahm
"5,034",Umm Batin
"35,982",Ofaqim
"39,317",Or Yehuda
"21,021",Or Aqiva
"9,391",Oranit
"13,601",Azor
"2,441",Ahuzzat Baraq
"53,291",Elat
"15,432",Iksal
"6,528",Al Sayyid
"2,066",Elon More
"3,058",Allon Shevut
"3,481",Elyakhin
"50,059",El'ad
"2,698",El'azar
"8,018",Alfe Menashe
"4,368",Elqana
"13,904",I'billin
"12,010",Efrat
"20,007",Ari'el
"227,087",Ashdod
"154,855",Ashqelon
"31,582",Baqa Al-Gharbiyye
"2,229",Be'er Gannim
"31,979",Be'er Ya'aqov
"214,927",Be'er Sheva
"10,373",Bu'eine-Nujeidat
"6,830",Buq'ata
"10,256",Bir El-Maksur
"6,361",Bir Hadage
"5,899",Bet El
"5,528",Bet Arye-Ofarim
"12,491",Beit Jann
"7,854",Bet Dagan
"2,151",Bet Hashmonay
"2,147",Bet Yizhaq-Sh. Hefer
"19,180",Bet She'an
"157,769",Bet Shemesh
"64,776",Betar Illit
"218,691",Bene Beraq
"6,841",Bene Ayish
"16,383",Binyamina-Giv'at Ada
"10,856",Basma
"8,172",Basmat Tab'un
"8,650",Bi'ne
"2,517",Brukhin
"3,148",Berakha
"2,063",Barqan
"2,319",Bareqet
"5,220",Bat Hefer
"129,047",Bat Yam
"21,711",Judeide-Maker
"6,800",Julis
"10,672",Jaljulye
"15,575",Jisr Az-Zarqa
"3,162",Jish(Gush Halav)
"12,750",Jatt
"6,076",Geva Binyamin
"2,112",Giv'at Avni
"2,714",Giv'at Brenner
"21,512",Giv'at Ze'ev
"29,322",Giv'at Shemu'el
"62,053",Giv'atayim
"31,813",Gedera
"24,615",Gan Yavne
"2,679",Gan Ner
"2,777",Ganne Modi'in
"24,046",Ganne Tiqwa
"18,318",Daliyat Al-Karmel
"10,874",Daburiyya
"13,148",Deir Al-Asad
"10,797",Deir Hanna
"36,975",Dimona
"65,961",Hod HaSharon
"2,074",Hosha'aya
"4,121",Har Adar
"107,592",Herzliyya
"24,412",Zikhron Ya'aqov
"7,497",Zemer
"8,606",Zarzir
"103,738",Hadera
"198,277",Holon
"24,901",Hura
"6,687",Hurfeish
"292,745",Haifa
"2,149",Haspin
"10,097",Hazor HaGelilit
"34,642",Harish
"2,610",Hashmona'im
"48,983",Tiberias
"7,155",Tuba-Zangariyye
"14,894",Tur'an
"46,271",Tayibe
"27,903",Tire
"29,350",Tirat Karmel
"5,599",Talmon
"36,035",Tamra
"6,951",Yanuh-Jat
"4,591",Yavne'el
"56,785",Yavne
"4,325",Yad Binyamin
"31,602",Yehud-Monoson
"19,792",Yafi
"2,160",Yizhar
"2,640",Yaqir
"24,831",Yoqne'am Illit
"11,284",Yeroham
"983,993",Jerusalem
"17,843",Yirka
"14,714",Kabul
"3,792",Kaokab Abu Al-Hija
"2,596",Kokhav HaShahar
"9,062",Kokhav Ya'ir
"10,045",Kokhav Ya'aqov
"24,076",Kuseife
"9,301",Kisra-Sumei
"5,913",Ka'abiyye-Tabbash-Hajajre
"5,120",Kefar Adummim
"3,973",Kafar Bara
"2,601",Kefar HaOranim
"5,592",Kefar Weradim
"6,754",Kefar Habad
"10,440",Kafar Yasif
"29,726",Kefar Yona
"3,536",Kafar Kama
"24,254",Kafar Kanna
"21,610",Kafar Manda
"2,839",Kafar Misr
"101,934",Kefar Sava
"25,437",Kafar Qasem
"20,167",Kafar Qara
"4,429",Kefar Tavor
"47,546",Karmi'el
"7,238",Lehavim
"86,087",Lod
"2,315",Lappid
"16,115",Laqye
"2,699",Mevo Horon
"25,599",Mevasseret Ziyyon
"15,862",Majd al-Kurum
"11,519",Majdal Shams
"24,103",Mughar
"2,048",Migdal
"27,172",Migdal HaEmeq
"100,325",Modi'in-Makkabbim-Re'ut
"84,479",Modi'in Illit
"4,333",Muqeible
"15,813",Mazkeret Batya
"4,150",Mazra'a
"2,125",Meiser
"10,953",Metar
"3,886",Mas'ade
"2,090",Ma'galim
"2,098",Ma'agan Mikha'el
"3,298",Mi'elya
"37,406",Ma'ale Adummim
"15,938",Ma'ale Iron
"22,608",Ma'alot-Tarshiha
"2,796",Mizpe Yeriho
"5,328",Mizpe Ramon
"2,854",Merkaz Shappira
"8,785",Meshhed
"3,586",Mattan
"2,445",Na'ura
"64,797",Nahariyya
"2,385",Newe Daniyyel
"2,008",Nof Ayyalon
"44,598",Nof HaGalil
"2,515",Nofit
"3,170",Noqedim
"13,775",Nahef
"2,009",Nein
"2,085",Nili
"2,706",Nizzan
"50,520",Nes Ziyyona
"2,845",Na'ale
"78,025",Nazareth
